[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/locks.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/servers/__init__.py first seen with mtime 1649369061.138488
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/pdf2image/parsers.py first seen with mtime 1649369082.5510707
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/utils/safestring.py first seen with mtime 1649369061.29248
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/parse.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/admin/helpers.py first seen with mtime 1649369059.146856
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/operator.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/urllib3/_version.py first seen with mtime 1649369080.6079383
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/rsa/pem.py first seen with mtime 1649369080.461027
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/constants.py first seen with mtime 1649369061.1829643
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/fcntl.cpython-38-darwin.so first seen with mtime 1613743144.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/cachetools/keys.py first seen with mtime 1649369058.7291684
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/messages/api.py first seen with mtime 1649369060.3726718
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/fields/mixins.py first seen with mtime 1649369061.1920187
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/google/oauth2/challenges.py first seen with mtime 1649369080.5154889
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1649369061.1961656
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth2/rfc6749/grant_types/authorization_code.py first seen with mtime 1649369081.890717
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/httplib2/error.py first seen with mtime 1649369081.1235003
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/rsa/common.py first seen with mtime 1649369080.4592488
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1649369059.432327
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_contextvars.cpython-38-darwin.so first seen with mtime 1613743141.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/charset_normalizer/api.py first seen with mtime 1649369058.7589078
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/google/auth/_default.py first seen with mtime 1649369080.496947
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1649369061.0868707
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1649369061.0890284
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1649369061.1389115
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/enum.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/googleapiclient/_helpers.py first seen with mtime 1649369081.1869516
