teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=60, avg_doc_size=4, s3_storage_year_cost=79.488, s3_requests_year_cost=7.848000000000001, s3_year_cost=87.336, heroku_year_cost=6000, total_yearly_cost=6087.336, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=60, avg_doc_size=5, s3_storage_year_cost=99.36000000000001, s3_requests_year_cost=7.848000000000001, s3_year_cost=107.20800000000001, heroku_year_cost=6000, total_yearly_cost=6107.208, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=60, avg_doc_size=6, s3_storage_year_cost=119.23200000000001, s3_requests_year_cost=7.848000000000001, s3_year_cost=127.08000000000001, heroku_year_cost=6000, total_yearly_cost=6127.08, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=60, avg_doc_size=7, s3_storage_year_cost=139.104, s3_requests_year_cost=7.848000000000001, s3_year_cost=146.95200000000003, heroku_year_cost=6000, total_yearly_cost=6146.952, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=1, s3_storage_year_cost=23.184, s3_requests_year_cost=9.156, s3_year_cost=32.34, heroku_year_cost=6000, total_yearly_cost=6032.34, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=2, s3_storage_year_cost=46.368, s3_requests_year_cost=9.156, s3_year_cost=55.524, heroku_year_cost=6000, total_yearly_cost=6055.524, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=3, s3_storage_year_cost=69.552, s3_requests_year_cost=9.156, s3_year_cost=78.70800000000001, heroku_year_cost=6000, total_yearly_cost=6078.708, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=4, s3_storage_year_cost=92.736, s3_requests_year_cost=9.156, s3_year_cost=101.89200000000001, heroku_year_cost=6000, total_yearly_cost=6101.892, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=5, s3_storage_year_cost=115.92000000000002, s3_requests_year_cost=9.156, s3_year_cost=125.07600000000002, heroku_year_cost=6000, total_yearly_cost=6125.076, total_yearly_gain=6240.0, 
teacher_count=48.0, student_teacher_ratio=25, assignments_per_stu_per_year=70, avg_doc_size=6, s3_storage_year_cost=139.104, s3_requests_year_cost=9.156, s3_year_cost=148.26000000000002, heroku_year_cost=6000, total_yearly_cost=6148.26, total_yearly_gain=6240.0, 
